question_id,model,sample,score
q-000,tuned-7b,0,1
q-000,tuned-7b,1,1
q-000,tuned-7b,2,1
q-000,tuned-7b,3,1
q-001,tuned-7b,0,1
q-001,tuned-7b,1,0
q-001,tuned-7b,2,0
q-001,tuned-7b,3,0
q-002,tuned-7b,0,1
q-002,tuned-7b,1,0
q-002,tuned-7b,2,1
q-002,tuned-7b,3,0
q-003,tuned-7b,0,0
q-003,tuned-7b,1,1
q-003,tuned-7b,2,0
q-003,tuned-7b,3,1
q-004,tuned-7b,0,1
q-004,tuned-7b,1,0
q-004,tuned-7b,2,0
q-004,tuned-7b,3,1
q-005,tuned-7b,0,0
q-005,tuned-7b,1,1
q-005,tuned-7b,2,1
q-005,tuned-7b,3,0
q-006,tuned-7b,0,1
q-006,tuned-7b,1,1
q-006,tuned-7b,2,1
q-006,tuned-7b,3,1
q-007,tuned-7b,0,1
q-007,tuned-7b,1,1
q-007,tuned-7b,2,1
q-007,tuned-7b,3,1
q-008,tuned-7b,0,1
q-008,tuned-7b,1,1
q-008,tuned-7b,2,1
q-008,tuned-7b,3,1
q-009,tuned-7b,0,1
q-009,tuned-7b,1,0
q-009,tuned-7b,2,1
q-009,tuned-7b,3,0
q-010,tuned-7b,0,0
q-010,tuned-7b,1,0
q-010,tuned-7b,2,0
q-010,tuned-7b,3,0
q-011,tuned-7b,0,1
q-011,tuned-7b,1,1
q-011,tuned-7b,2,1
q-011,tuned-7b,3,1
q-012,tuned-7b,0,1
q-012,tuned-7b,1,1
q-012,tuned-7b,2,1
q-012,tuned-7b,3,0
q-013,tuned-7b,0,0
q-013,tuned-7b,1,0
q-013,tuned-7b,2,1
q-013,tuned-7b,3,0
q-014,tuned-7b,0,1
q-014,tuned-7b,1,0
q-014,tuned-7b,2,0
q-014,tuned-7b,3,0
q-015,tuned-7b,0,0
q-015,tuned-7b,1,1
q-015,tuned-7b,2,0
q-015,tuned-7b,3,0
q-016,tuned-7b,0,1
q-016,tuned-7b,1,1
q-016,tuned-7b,2,1
q-016,tuned-7b,3,1
q-017,tuned-7b,0,1
q-017,tuned-7b,1,1
q-017,tuned-7b,2,1
q-017,tuned-7b,3,1
q-018,tuned-7b,0,1
q-018,tuned-7b,1,1
q-018,tuned-7b,2,0
q-018,tuned-7b,3,1
q-019,tuned-7b,0,1
q-019,tuned-7b,1,0
q-019,tuned-7b,2,0
q-019,tuned-7b,3,1
q-020,tuned-7b,0,1
q-020,tuned-7b,1,1
q-020,tuned-7b,2,0
q-020,tuned-7b,3,0
q-021,tuned-7b,0,0
q-021,tuned-7b,1,0
q-021,tuned-7b,2,0
q-021,tuned-7b,3,1
q-022,tuned-7b,0,0
q-022,tuned-7b,1,1
q-022,tuned-7b,2,1
q-022,tuned-7b,3,0
q-023,tuned-7b,0,0
q-023,tuned-7b,1,0
q-023,tuned-7b,2,1
q-023,tuned-7b,3,0
q-024,tuned-7b,0,0
q-024,tuned-7b,1,0
q-024,tuned-7b,2,1
q-024,tuned-7b,3,0
q-025,tuned-7b,0,1
q-025,tuned-7b,1,0
q-025,tuned-7b,2,1
q-025,tuned-7b,3,0
q-026,tuned-7b,0,1
q-026,tuned-7b,1,0
q-026,tuned-7b,2,0
q-026,tuned-7b,3,0
q-027,tuned-7b,0,0
q-027,tuned-7b,1,1
q-027,tuned-7b,2,1
q-027,tuned-7b,3,1
q-028,tuned-7b,0,0
q-028,tuned-7b,1,1
q-028,tuned-7b,2,1
q-028,tuned-7b,3,1
q-029,tuned-7b,0,0
q-029,tuned-7b,1,1
q-029,tuned-7b,2,1
q-029,tuned-7b,3,0
q-030,tuned-7b,0,0
q-030,tuned-7b,1,0
q-030,tuned-7b,2,0
q-030,tuned-7b,3,0
q-031,tuned-7b,0,0
q-031,tuned-7b,1,1
q-031,tuned-7b,2,1
q-031,tuned-7b,3,1
q-032,tuned-7b,0,1
q-032,tuned-7b,1,0
q-032,tuned-7b,2,0
q-032,tuned-7b,3,1
q-033,tuned-7b,0,0
q-033,tuned-7b,1,0
q-033,tuned-7b,2,1
q-033,tuned-7b,3,1
q-034,tuned-7b,0,1
q-034,tuned-7b,1,1
q-034,tuned-7b,2,1
q-034,tuned-7b,3,0
q-035,tuned-7b,0,1
q-035,tuned-7b,1,0
q-035,tuned-7b,2,1
q-035,tuned-7b,3,1
q-036,tuned-7b,0,0
q-036,tuned-7b,1,0
q-036,tuned-7b,2,1
q-036,tuned-7b,3,1
q-037,tuned-7b,0,0
q-037,tuned-7b,1,1
q-037,tuned-7b,2,0
q-037,tuned-7b,3,0
q-038,tuned-7b,0,1
q-038,tuned-7b,1,1
q-038,tuned-7b,2,1
q-038,tuned-7b,3,1
q-039,tuned-7b,0,0
q-039,tuned-7b,1,1
q-039,tuned-7b,2,0
q-039,tuned-7b,3,0
q-040,tuned-7b,0,1
q-040,tuned-7b,1,1
q-040,tuned-7b,2,0
q-040,tuned-7b,3,0
q-041,tuned-7b,0,0
q-041,tuned-7b,1,0
q-041,tuned-7b,2,1
q-041,tuned-7b,3,1
q-042,tuned-7b,0,1
q-042,tuned-7b,1,1
q-042,tuned-7b,2,1
q-042,tuned-7b,3,1
q-043,tuned-7b,0,0
q-043,tuned-7b,1,0
q-043,tuned-7b,2,0
q-043,tuned-7b,3,1
q-044,tuned-7b,0,0
q-044,tuned-7b,1,0
q-044,tuned-7b,2,0
q-044,tuned-7b,3,0
q-045,tuned-7b,0,1
q-045,tuned-7b,1,1
q-045,tuned-7b,2,1
q-045,tuned-7b,3,0
q-046,tuned-7b,0,1
q-046,tuned-7b,1,0
q-046,tuned-7b,2,1
q-046,tuned-7b,3,1
q-047,tuned-7b,0,0
q-047,tuned-7b,1,1
q-047,tuned-7b,2,1
q-047,tuned-7b,3,0
q-048,tuned-7b,0,1
q-048,tuned-7b,1,1
q-048,tuned-7b,2,0
q-048,tuned-7b,3,0
q-049,tuned-7b,0,0
q-049,tuned-7b,1,1
q-049,tuned-7b,2,1
q-049,tuned-7b,3,0
q-050,tuned-7b,0,1
q-050,tuned-7b,1,1
q-050,tuned-7b,2,1
q-050,tuned-7b,3,1
q-051,tuned-7b,0,1
q-051,tuned-7b,1,1
q-051,tuned-7b,2,1
q-051,tuned-7b,3,0
q-052,tuned-7b,0,1
q-052,tuned-7b,1,0
q-052,tuned-7b,2,0
q-052,tuned-7b,3,1
q-053,tuned-7b,0,1
q-053,tuned-7b,1,1
q-053,tuned-7b,2,1
q-053,tuned-7b,3,0
q-054,tuned-7b,0,1
q-054,tuned-7b,1,1
q-054,tuned-7b,2,1
q-054,tuned-7b,3,1
q-055,tuned-7b,0,1
q-055,tuned-7b,1,0
q-055,tuned-7b,2,0
q-055,tuned-7b,3,0
q-056,tuned-7b,0,1
q-056,tuned-7b,1,0
q-056,tuned-7b,2,1
q-056,tuned-7b,3,1
q-057,tuned-7b,0,0
q-057,tuned-7b,1,1
q-057,tuned-7b,2,0
q-057,tuned-7b,3,0
q-058,tuned-7b,0,0
q-058,tuned-7b,1,0
q-058,tuned-7b,2,1
q-058,tuned-7b,3,0
q-059,tuned-7b,0,0
q-059,tuned-7b,1,0
q-059,tuned-7b,2,0
q-059,tuned-7b,3,1
