question_id,cluster_id,model,score
passage-000-q0,passage-000,baseline-7b,1
passage-000-q0,passage-000,tuned-7b,1
passage-000-q0,passage-000,baseline-70b,1
passage-000-q0,passage-000,tuned-70b,1
passage-000-q1,passage-000,baseline-7b,1
passage-000-q1,passage-000,tuned-7b,1
passage-000-q1,passage-000,baseline-70b,0
passage-000-q1,passage-000,tuned-70b,1
passage-000-q2,passage-000,baseline-7b,1
passage-000-q2,passage-000,tuned-7b,1
passage-000-q2,passage-000,baseline-70b,1
passage-000-q2,passage-000,tuned-70b,0
passage-000-q3,passage-000,baseline-7b,0
passage-000-q3,passage-000,tuned-7b,1
passage-000-q3,passage-000,baseline-70b,0
passage-000-q3,passage-000,tuned-70b,0
passage-000-q4,passage-000,baseline-7b,0
passage-000-q4,passage-000,tuned-7b,0
passage-000-q4,passage-000,baseline-70b,1
passage-000-q4,passage-000,tuned-70b,0
passage-001-q0,passage-001,baseline-7b,1
passage-001-q0,passage-001,tuned-7b,1
passage-001-q0,passage-001,baseline-70b,1
passage-001-q0,passage-001,tuned-70b,1
passage-001-q1,passage-001,baseline-7b,1
passage-001-q1,passage-001,tuned-7b,1
passage-001-q1,passage-001,baseline-70b,1
passage-001-q1,passage-001,tuned-70b,1
passage-001-q2,passage-001,baseline-7b,1
passage-001-q2,passage-001,tuned-7b,0
passage-001-q2,passage-001,baseline-70b,1
passage-001-q2,passage-001,tuned-70b,1
passage-001-q3,passage-001,baseline-7b,1
passage-001-q3,passage-001,tuned-7b,1
passage-001-q3,passage-001,baseline-70b,1
passage-001-q3,passage-001,tuned-70b,1
passage-001-q4,passage-001,baseline-7b,0
passage-001-q4,passage-001,tuned-7b,0
passage-001-q4,passage-001,baseline-70b,1
passage-001-q4,passage-001,tuned-70b,1
passage-002-q0,passage-002,baseline-7b,0
passage-002-q0,passage-002,tuned-7b,0
passage-002-q0,passage-002,baseline-70b,0
passage-002-q0,passage-002,tuned-70b,1
passage-002-q1,passage-002,baseline-7b,1
passage-002-q1,passage-002,tuned-7b,1
passage-002-q1,passage-002,baseline-70b,1
passage-002-q1,passage-002,tuned-70b,1
passage-002-q2,passage-002,baseline-7b,0
passage-002-q2,passage-002,tuned-7b,0
passage-002-q2,passage-002,baseline-70b,1
passage-002-q2,passage-002,tuned-70b,1
passage-002-q3,passage-002,baseline-7b,1
passage-002-q3,passage-002,tuned-7b,0
passage-002-q3,passage-002,baseline-70b,1
passage-002-q3,passage-002,tuned-70b,1
passage-002-q4,passage-002,baseline-7b,0
passage-002-q4,passage-002,tuned-7b,0
passage-002-q4,passage-002,baseline-70b,0
passage-002-q4,passage-002,tuned-70b,0
passage-003-q0,passage-003,baseline-7b,1
passage-003-q0,passage-003,tuned-7b,1
passage-003-q0,passage-003,baseline-70b,1
passage-003-q0,passage-003,tuned-70b,1
passage-003-q1,passage-003,baseline-7b,1
passage-003-q1,passage-003,tuned-7b,1
passage-003-q1,passage-003,baseline-70b,1
passage-003-q1,passage-003,tuned-70b,0
passage-003-q2,passage-003,baseline-7b,0
passage-003-q2,passage-003,tuned-7b,1
